Feedstuff,As fed (% DM),TDN (%),NEI,NEm Mcal/lb. ,NEg,CP(%),EE(%),CF(%),ADF(%),Ash(%),Ca(%),P(%),K(%),Mg(%)
"Peas , Canada , field",85,71.0 *,0.73 *,0.75 *,0.43 *,27.9,0.9,9.3,12,2.8,-,,,
"Peas , cow",85.2,74.1 *,0.77 *,0.79 *,0.47 *,24.4,1.6,4.8,6,3.8,0.1,0.5,,
"Peas , cull , dried",90,83,0.87,0.89,0.59,26.5,1.2,6,9,3.1,0.13,0.47,-,
"Peas , field",90.7,82.2,0.86,0.89,0.58,25.8,1.3,6.7,8,3.3,0.19,0.55,1.14,
Pineapple bran ( pulp ),87,68,0.7,0.71,0.44,4.6,1.5,20.9,37,3.5,0.27,0.13,-,
Pineapple greenchop,18,56,0.57,0.55,0.24,7.6,2.2,27,35,6.4,0.28,0.08,,
Pineapple juice presscake,21,71,0.74,0.75,0.45,5.3,0.7,26,34,2.6,0.28,0.08,,
Pineapple stumpmeal,46,64,0.66,0.65,0.36,3,0.8,22,30,1.9,0.28,0.08,,-
Pineapple tops,16,42.8,0.42,0.38,0.04,10,3.1,23.1,29,9.4,-,,,-
Pineapples,14.7,80.1,0.84,0.86,0.55,2.7,1.4,2.7,3,2.7,0.14,0.07,-,-
Pomegranate pulp,26,68.4,0.71,0.71,0.4,8.4,4.9,16.6,21,4,-,-,,-
"Potato meal , dried",89,90,0.95,1.02,0.7,8.4,0.4,7.3,9,3.4,0.16,0.25,2.15,-
Potato silage,25,82,0.86,0.91,0.61,7.6,0.4,4,5,5.5,0.04,0.23,2.13,0.14
"Potatoes , dried",91,81,0.85,0.9,0.6,8.9,0.5,2.3,3,8.7,0.08,0.22,2.15,0.12
"Potatoes , fresh",23,81,0.85,0.9,0.6,9.5,0.4,2.4,3,4.8,0.04,0.24,2.17,0.14
Prune mix,81.8,54.7,0.55,0.53,0.21,6.3,2.4,19.8,25,6.2,,,,
"Prunes , dried",90,77.8,0.81,0.83,0.52,,-,0,0,-,,,,-
"Prunes , w / o pits",80,93,0.98,1.04,0.72,4.1,1.4,2.2,3,-,0.04,0.12,,-
Prunes . w / pits,82,81,0.85,0.88,0.56,5.3,2.9,13.1,16,-,0.13,0.11,,-
Pumpkins,9,85,0.89,0.93,0.62,16.2,8.9,14.2,18,8.9,0.24,0.43,3.32,-
"Raisin pulp , dried",89,53,0.53,0.5,0.19,10.7,8.7,18,23,6,,,,-
"Raisins , cull",85,48,0.48,0.44,0.1,4,1.1,5.2,7,3.5,-,,,-
"Rapeseed oil meal ,",94,74,0.77,0.8,0.51,37.4,7.4,16.5,18,7.2,0.76,1.15,0.9,0.59
"Rapeseed oil meal ,",92,75,0.78,0.81,0.53,44,1.2,10.1,18,7.8,0.73,1.13,0.9,0.58
"Rice bran , solv - extd",90,62,0.64,0.63,0.34,15.9,3.4,13,17,15.1,0.07,1.62,1.91,1.04
Rice bran 13 % fat,91,70,0.73,0.74,0.47,14.1,15.1,12.8,18,12.8,0.08,1.7,1.92,1.04
Rice byproduct ( bran and hulls ),91,33,0.31,0.25,0,6.7,5.6,33,53,19.1,0.08,0.59,-,
Rice hulls,92,12,0.08,0,0,3.3,0.8,42.9,72,20.6,0.1,0.08,0.57,0.83
Rice middlings,88.1,66.9 *,0.69 *,0.69 *,0.38 *,15.6,6.8,9.6,12,9.6,,-,,=
Rice polishings,90,91,0.96,0.99,0.65,14.2,14.9,3,4,9.9,0.05,1.31,1.3,0.72
Rice straw,91,41,0.4,0.35,0.02,4.5,1.4,35.1,44,16.6,0.21,0.08,1.32,0.11
Rutabaga tops,10.9,68.4,0.71,0.71,0.4,18.6,4.6,14.1,18,19.9,,,,-
"Rutabaga tops , dried",87.3,55.1,0.56,0.54,0.21,11.2,2.2,9.8,12,39.4,,,-,
Rutabagas,11.4,85.6,0.9,0.94,0.62,10.5,1.8,11.4,14,10.5,0.49,0.29,1.84,0.18
Rye bran,91,61,0.62,0.6,0.32,17.5,3.4,7.6,10,5.2,-,,,-
Rye distillers dried grains,92,61,0.63,0.61,0.35,23.5,7.8,13.4,18,2.5,0.16,0.52,0.08,0.18
Rye distillers dried grains w / solubles,90.5,62.1,0.64,0.63,0.31,30.1,4.5,9,11,7.1,-,-,,
Rye distillers dried solubles,94.4,69.6 *,0.72 *,0.73 *,0.41 *,37.2,1.3,3.6,5,7.6,0.37,1.26,,
Rye middlings,90,80,0.83,0.85,0.57,18.4,3.8,5.8,7,4,0.07,0.7,0.7,-
Rye mill run,90,75,0.78,0.79,0.51,18.5,3.7,5.1,6,4.2,0.08,0.71,0.66,0.26
Safflower hulls,91.3,13.3,0.09,0,0,3.6,3.7,58.2,73,1.8,,,-,
"Safflower meal 20 % CP , mech - extd",91,60,0.61,0.6,0.34,22.1,6.7,35.4,41,4.1,0.27,0.78,0.79,0.36
"Safflower meal 20 % CP , solv - extd",92,57,0.58,0.55,0.29,25.4,1.5,32.5,41,5.9,0.37,0.81,0.82,0.37
"Safflower meal 42 % CP , solv - extd",92,73,0.76,0.79,0.5,46.9,1.4,14.7,21,8.2,0.38,1.4,1.19,1.11
Safflower seeds,94,89,0.94,1,0.69,17.4,35.1,28.6,40,3.1,0.26,0.67,0.79,0.36
Sagebrush browse,50.5,49.9,0.5,0.47,0.14,12.9,9.2,24.8,31,9.7,1.01,0.25,-,0.49
"Saltgrass hay , sun - cured",89.2,53.5,0.54,0.52,0.19,8.9,2.1,31.6,40,12.7,2.37,0.1,,-
"Screenings , grain , good grade",90,70,0.72,0.7,0.44,14.2,5.2,13.1,16,9.8,0.48,0.43,-,-
"Screenings , refuse",90,56,0.57,0.55,0.29,11.5,4.3,31,40,10.6,0.46,0.32,,-
"Sesame meal , mech - extd",93,77,0.8,0.85,0.55,49.1,7.5,6.1,17,12,2.17,1.46,1.35,0.5
Sesame oil cake,94.7,88.8 *,0.93 *,0.98 *,0.67 *,38,26,4,5,7.8,,,,-
Sesame seeds,92,104,1.1,1.23,0.74,24.2,46.6,11.2,14,6.1,1.02,0.76,,
Shrimp waste meal,90,48,0.47,0.48,0.09,50,5.5,11,-,25,8.5,1.75,,-
"Sloughgrass , American ,",94.6,53.2,0.54,0.51,0.19,5,1.3,37.9,47,11.6,0.42,0.14,-,-
solv - extd ( canola meal ),,,,,,,,,,,,,,
Sorghum distillers dried,95,84,0.88,0.91,0.61,34.9,9.9,10.7,13,4.4,0.18,0.97,,
Sorghum distillers dried grains,94,83,0.87,0.92,0.62,34.4,9.5,12.7,16,3.8,0.16,0.74,0.38,0.19
Sorghum distillers dried solubles,93,83,0.87,0.9,0.6,28.5,5.9,4.2,5,9.1,0.4,0.66,-,-
"Sorghum gluten feed , dried",91,76,0.79,0.8,0.52,28.6,3.6,7.8,10,9.4,0.1,0.66,1.61,0.49
"Sorghum silage , 30 % DM",30,60,0.61,0.6,0.34,7.5,3,27.9,38,8.7,0.35,0.21,1.37,0.29
"Sorghum stover , dried",88,54,0.55,0.5,0.25,5.2,1.7,33.5,41,11,0.52,0.13,1.2,0.28
Sorrel seeds,86.8,67.7 *,0.7,* 0.70 *,0.39 *,9.1,4.4,19.4,24,2.4,,,,-
"Soybean hay , sun - cured",94,53,0.54,0.49,0.24,17.8,5.4,29.8,40,7.7,1.26,0.27,0.97,0.79
Soybean hulls,91,77,0.8,0.85,0.55,12.1,2.1,40.1,50,5.1,0.49,0.21,1.27,0.28
"Soybean meal , 44 % CP solv - extd",89,84,0.88,0.94,0.64,49.9,1.5,7,10,7.3,0.3,0.68,1.98,0.3
"Soybean meal , 48 % CP solv - extd",90,87,0.91,0.98,0.67,55.1,1,3.7,6,6.5,0.29,0.7,2.3,0.32
"Soybean mill feed , ground",89.4,48.4,0.48,0.45,0.12,14.9,1.8,36.9,46,5,0.42,0.21,-,
Soybean mill run,88,44,0.43,0.39,0.03,13.6,1.4,40.7,51,5.1,0.42,0.21,,
Soybean silage,27,55,0.56,0.52,0.26,17.3,2.7,28.4,40,9.7,1.36,0.47,0.93,0.38
Soybean straw,88,44,0.44,0.44,0,5.2,1.4,44,55,5.8,1.59,0.06,0.53,0.92
"Soybeans , whole",92,91,0.96,1.03,0.71,42.8,18.8,5.8,10,5.5,0.27,0.65,1.82,0.29
Sugarcane bagasse,91,44,0.44,0.34,0.1,1.5,0.4,49,61,5.5,0.9,0.29,0.5,0.1
Sugarcane strippings,45,44,0.44,0.39,0.03,3.6,0.9,45,56,10.3,0.35,0.27,-,-
"Sunflower meal , mech - extd",93,74,0.77,0.8,0.51,44.6,8.7,13.1,17,7.1,0.42,1.14,1.14,0.78
"Sunflower meal , solv - extd",93,65,0.67,0.67,0.4,49.8,3.1,12.2,16,8.1,0.44,0.98,1.14,0.77
Sunflower seeds,94,83,0.87,0.9,0.6,17.9,27.7,31,39,3.3,0.18,0.56,0.71,
Sunflower seeds w / o hulls,95,121,1.29,1.55,0.71,27.1,46.5,5.3,7,4,0.17,0.94,0.96,
Sweet potato meal,90,80,0.83,0.85,0.57,5.4,1,3.7,5,4.5,0.17,0.16,,
Sweet potato tops,20,49.4 *,0.50 *,0.46 *,0.13 *,19.5,2.5,14.5,18,22,,,,
"Sweet potato tops , dried",91,57,0.58,0.55,0.25,13.9,3.6,21,26,11.3,,,,
Sweet potatoes,31,80,0.83,0.85,0.57,5,1.3,6,8,3.6,0.09,0.13,1.19,0.16
"Tangerine pulp , dried",87,80,0.83,0.87,0.55,8.1,5.7,11,14,5,1.57,0.14,-,
Tapioca meal,86.8,81.1,0.85,0.88,0.57,1,0.8,5.3,7,2.1,,0.03,,
Tomato leaves w / stems,14,46.7 *,0.47 *,0.43 *,0.09 *,26.4,1.7,15.4,19,26.6,-,,-,
"Tomato pomace , dried",92,58,0.59,0.57,0.31,23.5,10.3,26.4,50,7.5,0.43,0.6,3.63,0.2
"Tomato pomace , silage",29.5,63.9 *,0.66 *,0.65 *,0.34 *,19.2,14.6,44.9,56,4.5,0.5,0.47,,
"Tomato skins w / juice , dried",89.6,63,0.65,0.64,0.32,20.7,2.5,19.1,24,9.8,0.61,0.46,,
Tomatoes,6,69,0.71,0.7,0.43,16.4,5,9.1,11,-,0.16,0.49,4.21,
Turnip tops,13,67,0.69,0.68,0.4,21.8,2.6,10.3,13,16.8,2.92,0.51,3,0.92
"Turnips , fresh",9,85,0.89,0.95,0.65,11.8,1.9,11.5,34,8.9,0.59,0.26,2.99,0.22
Vetch seeds,90.7,68.1,0.7,0.71,0.39,32.6,0.9,6.3,8,3.4,,,,
"Walnut meal , black",93,70.8,0.73,0.74,0.43,31.7,11.4,18.2,23,5.7,,,,
"Walnut meal , English",93.3,66.7,0.69,0.69,0.37,17.1,6.4,26.8,34,4.9,,,,
"Walnut meats , ground",91,94,0.99,1.06,0.69,45.8,9.6,3.8,5,5.8,,,,
Watergrass seed,90,69.1 *,0.71 *,0.72 *,0.41 *,7.3,3.9,14.2,18,5,-,,,
Wheat bran,89,70,0.73,0.74,0.47,17.1,4.4,11.3,15,6.9,0.13,1.38,1.56,0.6
"Wheat chaff , sun - cured",92.6,39.8,0.39,0.34,0,5.5,1.7,32.2,40,18,0.2,0.15,-,-
Wheat germ meal,90,95,1,1.11,0.7,28.1,10.2,4,5,5.8,0.06,1.16,0.98,0.28
Wheat hay,90,57,0.57,0.57,0.25,9,2,29,38,8,0.21,0.22,1.4,
Wheat middlings,89,69,0.71,0.73,0.45,18.4,4.9,8.2,10,5.2,0.13,0.99,1.13,0.4
Wheat mill run,90,79,0.83,0.87,0.58,17.2,4.6,9.2,11,5.9,0.11,1.13,1.33,0.52
"Wheat shorts , 7 % CF",88,73,0.76,0.79,0.5,18.6,5.2,7.7,10,4.9,0.1,0.91,1.06,0.28
Wheat straw,89,44,0.44,0.34,0.1,3.6,1.8,41.6,54,7.8,0.18,0.5,1.42,0.12
"Whey , condensed , 42 % solids",42,78,0.81,0.81,0.54,14,4.3,0,0,10.1,0.98,0.81,,
"Whey , liquid",7,81,0.85,0.9,0.6,14.2,0.7,0.2,0,9.8,0.73,0.65,2.75,
Whey dried,93,81,0.85,0.9,0.6,14.2,0.7,0.2,0,9.8,0.92,0.82,1.23,0.14
"Whey product , dried",93,79,0.83,0.87,0.58,17.9,1.1,0.2,0,16.5,1.71,1.12,2.16,0.23
with solubles,91,90,1.05,1.13,0.75,29,10.8,8,17,5,0.12,0.8,1.04,0.33
"Yeast , brewers , dried",93,79,0.83,0.87,0.58,46.9,0.9,3.1,4,7.1,0.13,1.49,1.79,0.27
"Yeast , torula , dried",93,78,0.81,0.85,0.56,52.7,1.7,2.4,4,8.3,0.54,1.71,2.04,0.18
